what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368603091266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368603114923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368603117390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368603130087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368603138492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368603218923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1368603218967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368603226790
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1368603228644
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1368603228803
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1368603228881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368603229760
